fng_value,fng_encoded,fng_ma7,fng_ma30,fng_change,fng_volatility,day_sin,day_cos,fng_rsi,sentiment_simple
67,3.0,68.57142857142857,71.83333333333333,0.0,2.7602622373706462,0.7818314824680298,0.6234898018587336,52.5,Bullish
65,3.0,63.42857142857143,61.2,-3.0,2.5071326821120565,0.9749279121818236,-0.2225209339563143,65.38461538461539,Bullish
82,4.0,81.71428571428571,75.53333333333333,7.0,4.498677054213638,0.4338837391175582,-0.900968867902419,57.14285714285714,Bullish
73,3.0,69.28571428571429,68.23333333333333,2.0,2.984084768361144,0.4338837391175582,-0.900968867902419,47.61904761904762,Bullish
51,2.0,51.42857142857143,54.96666666666667,1.0,1.272418020557636,0.4338837391175582,-0.900968867902419,26.08695652173914,Neutral
84,4.0,75.0,74.46666666666667,9.0,4.281744192889455,0.7818314824680298,0.6234898018587336,60.0,Bullish
69,3.0,69.57142857142857,63.16666666666666,1.0,3.457221565416957,0.9749279121818236,-0.2225209339563143,56.81818181818182,Bullish
35,1.0,26.857142857142858,20.666666666666668,4.0,4.8107023544237935,-0.9749279121818236,-0.2225209339563146,67.34693877551021,Bearish
54,2.0,57.42857142857143,48.96666666666667,-2.0,2.2253945610559254,0.7818314824680298,0.6234898018587336,52.38095238095237,Neutral
38,1.0,51.0,47.2,-14.0,5.802298395176739,-0.433883739117558,-0.9009688679024191,39.130434782608695,Bearish
12,0.0,11.428571428571429,16.9,0.0,1.9023794624246224,0.9749279121818236,-0.2225209339563143,52.0,Bearish
14,0.0,11.428571428571429,16.1,2.0,1.9023794624246224,0.4338837391175582,-0.900968867902419,53.846153846153854,Bearish
5,0.0,21.428571428571427,37.63333333333333,-6.0,12.313368654395608,0.4338837391175582,-0.900968867902419,31.57894736842105,Bearish
23,0.0,22.428571428571427,27.266666666666666,0.0,1.272418020550405,-0.9749279121818236,-0.2225209339563146,30.769230769230774,Bearish
22,0.0,22.285714285714285,27.3,1.0,1.3801311186751792,0.7818314824680298,0.6234898018587336,36.36363636363636,Bearish
33,1.0,28.571428571428573,18.0,8.0,4.825527358301417,0.7818314824680298,0.6234898018587336,65.51724137931035,Bearish
58,3.0,57.71428571428572,50.06666666666667,4.0,2.1380899352985847,0.9749279121818236,-0.2225209339563143,57.77777777777777,Bullish
48,2.0,38.42857142857143,30.2,10.0,9.863352081605717,0.9749279121818236,-0.2225209339563143,64.44444444444444,Neutral
53,2.0,52.142857142857146,52.13333333333333,3.0,1.7728105208536953,0.7818314824680298,0.6234898018587336,50.0,Neutral
71,3.0,71.85714285714286,49.2,1.0,2.794552524024422,-0.433883739117558,-0.9009688679024191,77.5,Bullish
20,0.0,22.857142857142858,31.3,-1.0,2.6726124191194227,-0.7818314824680299,0.6234898018587334,39.39393939393939,Bearish
6,0.0,7.714285714285714,11.666666666666666,0.0,1.7994708216749715,-0.7818314824680299,0.6234898018587334,43.33333333333333,Bearish
14,0.0,13.142857142857142,31.83333333333333,3.0,2.672612419124416,0.9749279121818236,-0.2225209339563143,26.02739726027397,Bearish
66,3.0,57.42857142857143,45.43333333333333,2.0,11.984116472191443,0.7818314824680298,0.6234898018587336,57.92682926829268,Bullish
72,3.0,75.28571428571429,67.8,-6.0,3.4016802570841995,-0.7818314824680299,0.6234898018587334,51.16279069767442,Bullish
35,1.0,37.71428571428572,26.3,1.0,3.1471831698779877,0.0,1.0,60.869565217391305,Bearish
40,1.0,49.0,45.0,0.0,10.263202878893802,0.0,1.0,39.080459770114935,Bearish
33,1.0,27.857142857142858,45.1,8.0,2.7342623276091413,-0.7818314824680299,0.6234898018587334,36.53846153846153,Bearish
52,2.0,49.42857142857143,33.333333333333336,-2.0,4.0766466144429225,0.0,1.0,71.42857142857143,Neutral
37,1.0,31.714285714285715,29.566666666666663,4.0,3.4982989063395387,0.4338837391175582,-0.900968867902419,50.0,Bearish
71,3.0,71.0,71.36666666666666,1.0,3.162277660169448,-0.7818314824680299,0.6234898018587334,47.368421052631575,Bullish
42,1.0,41.71428571428572,44.06666666666667,0.0,1.496026483087624,0.4338837391175582,-0.900968867902419,52.631578947368425,Bearish
72,3.0,69.71428571428571,64.03333333333333,-1.0,2.3603873774095563,0.0,1.0,55.0,Bullish
77,4.0,66.57142857142857,82.86666666666666,-7.0,17.00840128541534,-0.433883739117558,-0.9009688679024191,43.44262295081967,Bullish
23,0.0,20.285714285714285,27.433333333333334,13.0,6.36957051702882,-0.7818314824680299,0.6234898018587334,41.66666666666667,Bearish
29,1.0,26.714285714285715,24.4,4.0,1.2535663410466888,0.9749279121818236,-0.2225209339563143,65.21739130434783,Bearish
23,0.0,26.0,32.63333333333333,-4.0,1.9999999999940847,0.9749279121818236,-0.2225209339563143,27.5,Bearish
20,0.0,24.0,24.0,0.0,4.041451884326029,-0.433883739117558,-0.9009688679024191,43.636363636363626,Bearish
40,1.0,36.285714285714285,33.36666666666667,2.0,6.799859942535295,-0.433883739117558,-0.9009688679024191,57.14285714285714,Bearish
47,2.0,47.57142857142857,46.96666666666667,3.0,2.507132682109935,-0.9749279121818236,-0.2225209339563146,50.0,Neutral
23,0.0,28.857142857142858,39.43333333333333,-2.0,6.5428987314129445,0.9749279121818236,-0.2225209339563143,18.367346938775512,Bearish
33,1.0,27.428571428571427,20.566666666666663,-5.0,6.399404734221092,0.9749279121818236,-0.2225209339563143,58.62068965517242,Bearish
46,1.0,29.857142857142858,28.03333333333333,15.0,7.515064236330191,-0.9749279121818236,-0.2225209339563146,83.87096774193549,Bearish
