date,fng_value,fng_classification,fng_value-Standarisasi,fng_value-Normalisasi,fng_standardized,fng_encoded,fng_ma7,fng_ma30,fng_change,fng_volatility,sentiment_simple,sentiment_change,day_of_week,day_sin,day_cos,fng_rsi
2019-09-06,43,Fear,-0.1425542125384653,0.4222222222222222,-0.1425542125384653,1.0,34.285714285714285,32.8,2.0,9.928314487939664,Bearish,0,4,-0.433883739117558,-0.9009688679024191,56.25
2019-09-07,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,37.0,32.06666666666667,-4.0,7.724420150837902,Bearish,0,5,-0.9749279121818236,-0.2225209339563146,50.0
2019-09-08,43,Fear,-0.1425542125384653,0.4222222222222222,-0.1425542125384653,1.0,39.714285714285715,31.5,4.0,5.37631490007475,Bearish,0,6,-0.7818314824680299,0.6234898018587334,56.57894736842105
2019-09-09,41,Fear,-0.2341892785381537,0.3999999999999999,-0.2341892785381537,1.0,41.57142857142857,30.9,-2.0,1.5118578920381625,Bearish,0,0,0.0,1.0,50.0
2019-09-10,41,Fear,-0.2341892785381537,0.3999999999999999,-0.2341892785381537,1.0,41.57142857142857,30.766666666666666,0.0,1.5118578920381625,Bearish,0,1,0.7818314824680298,0.6234898018587336,59.32203389830509
2019-09-11,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,40.857142857142854,30.433333333333334,-3.0,1.8644544714726339,Bearish,0,2,0.9749279121818236,-0.22252093395631434,55.0
2019-09-12,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,40.57142857142857,30.233333333333334,1.0,1.9880595947769744,Bearish,0,3,0.43388373911755823,-0.900968867902419,69.38775510204081
2019-09-13,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,39.857142857142854,31.133333333333333,-1.0,1.8644544714726454,Bearish,0,4,-0.433883739117558,-0.9009688679024191,65.21739130434783
2019-09-14,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,39.857142857142854,32.0,1.0,1.8644544714726454,Bearish,0,5,-0.9749279121818236,-0.2225209339563146,72.09302325581396
2019-09-15,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,39.142857142857146,32.233333333333334,-1.0,1.345185418270547,Bearish,0,6,-0.7818314824680299,0.6234898018587334,67.5
2019-09-16,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,38.714285714285715,32.833333333333336,0.0,1.1126972805301334,Bearish,0,0,0.0,1.0,63.888888888888886
2019-09-17,41,Fear,-0.2341892785381537,0.3999999999999999,-0.2341892785381537,1.0,38.714285714285715,33.733333333333334,3.0,1.1126972805301334,Bearish,0,1,0.7818314824680298,0.6234898018587336,50.0
2019-09-18,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,38.714285714285715,34.0,-3.0,1.1126972805301334,Bearish,0,2,0.9749279121818236,-0.22252093395631434,40.74074074074074
2019-09-19,31,Fear,-0.6923646085365955,0.2888888888888888,-0.6923646085365955,1.0,37.57142857142857,33.733333333333334,-7.0,3.1014589500832654,Bearish,0,3,0.43388373911755823,-0.900968867902419,34.375
2019-09-20,41,Fear,-0.2341892785381537,0.3999999999999999,-0.2341892785381537,1.0,38.0,34.733333333333334,10.0,3.3665016461212796,Bearish,0,4,-0.433883739117558,-0.9009688679024191,47.5
2019-09-21,37,Fear,-0.4174594105375304,0.3555555555555555,-0.4174594105375304,1.0,37.714285714285715,35.8,-4.0,3.352326839390695,Bearish,0,5,-0.9749279121818236,-0.2225209339563146,47.5
2019-09-22,37,Fear,-0.4174594105375304,0.3555555555555555,-0.4174594105375304,1.0,37.57142857142857,35.93333333333333,0.0,3.3594217189448337,Bearish,0,6,-0.7818314824680299,0.6234898018587334,41.66666666666667
2019-09-23,41,Fear,-0.2341892785381537,0.3999999999999999,-0.2341892785381537,1.0,38.0,36.0,4.0,3.605551275464538,Bearish,0,0,0.0,1.0,50.0
2019-09-24,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,37.714285714285715,36.2,-2.0,3.4016802570836284,Bearish,0,1,0.7818314824680298,0.6234898018587336,47.5
2019-09-25,15,Extreme Fear,-1.4254451365341023,0.1111111111111111,-1.4254451365341023,0.0,34.42857142857143,35.333333333333336,-24.0,9.216961590046099,Bearish,1,2,0.9749279121818236,-0.22252093395631434,31.14754098360656
2019-09-26,12,Extreme Fear,-1.562897735533635,0.0777777777777777,-1.562897735533635,0.0,31.714285714285715,34.733333333333334,-3.0,12.579272444704404,Bearish,0,3,0.43388373911755823,-0.900968867902419,28.57142857142857
2019-09-27,24,Extreme Fear,-1.013087339535505,0.2111111111111111,-1.013087339535505,0.0,29.285714285714285,34.46666666666667,12.0,12.120427463780572,Bearish,0,4,-0.433883739117558,-0.9009688679024191,40.54054054054053
2019-09-28,32,Fear,-0.6465470755367514,0.3,-0.6465470755367514,1.0,28.571428571428573,34.86666666666667,8.0,11.731114508820212,Bearish,1,5,-0.9749279121818236,-0.2225209339563146,45.67901234567901
2019-09-29,33,Fear,-0.6007295425369071,0.3111111111111111,-0.6007295425369071,1.0,28.0,35.166666666666664,1.0,11.343133018115903,Bearish,0,6,-0.7818314824680299,0.6234898018587334,46.91358024691358
2019-09-30,27,Fear,-0.8756347405359722,0.2444444444444444,-0.8756347405359722,1.0,26.0,35.4,-6.0,9.797958971132948,Bearish,0,0,0.0,1.0,43.67816091954023
2019-10-01,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,25.857142857142858,35.86666666666667,11.0,9.581728644118892,Bearish,0,1,0.7818314824680298,0.6234898018587336,48.421052631578945
2019-10-02,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,29.285714285714285,36.233333333333334,1.0,9.340133577101545,Bearish,0,2,0.9749279121818236,-0.22252093395631434,50.53763440860215
2019-10-03,37,Fear,-0.4174594105375304,0.3555555555555555,-0.4174594105375304,1.0,32.857142857142854,36.1,-2.0,5.698788509516276,Bearish,0,3,0.43388373911755823,-0.900968867902419,53.409090909090914
2019-10-04,30,Fear,-0.7381821415364397,0.2777777777777778,-0.7381821415364397,1.0,33.714285714285715,35.666666666666664,-7.0,4.461475305856362,Bearish,0,4,-0.433883739117558,-0.9009688679024191,43.529411764705884
2019-10-05,31,Fear,-0.6923646085365955,0.2888888888888888,-0.6923646085365955,1.0,33.57142857142857,35.333333333333336,1.0,4.540820148282889,Bearish,0,5,-0.9749279121818236,-0.2225209339563146,46.34146341463415
2019-10-06,32,Fear,-0.6465470755367514,0.3,-0.6465470755367514,1.0,33.42857142857143,34.96666666666667,1.0,4.577377082171097,Bearish,0,6,-0.7818314824680299,0.6234898018587334,46.98795180722891
2019-10-07,27,Fear,-0.8756347405359722,0.2444444444444444,-0.8756347405359722,1.0,33.42857142857143,34.56666666666667,-5.0,4.577377082171097,Bearish,0,0,0.0,1.0,41.66666666666667
2019-10-08,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,33.57142857142857,34.43333333333333,12.0,4.755948656057153,Bearish,0,1,0.7818314824680298,0.6234898018587336,50.0
2019-10-09,37,Fear,-0.4174594105375304,0.3555555555555555,-0.4174594105375304,1.0,33.285714285714285,34.3,-2.0,4.423960733486772,Bearish,0,2,0.9749279121818236,-0.22252093395631434,65.27777777777777
2019-10-10,41,Fear,-0.2341892785381537,0.3999999999999999,-0.2341892785381537,1.0,33.857142857142854,34.3,4.0,5.177791402666585,Bearish,0,3,0.43388373911755823,-0.900968867902419,69.86301369863014
2019-10-11,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,35.142857142857146,34.333333333333336,-2.0,5.177791402666574,Bearish,0,4,-0.433883739117558,-0.9009688679024191,61.904761904761905
2019-10-12,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,36.142857142857146,34.3,-1.0,4.91353814912036,Bearish,0,5,-0.9749279121818236,-0.2225209339563146,55.35714285714286
2019-10-13,38,Fear,-0.3716418775376862,0.3666666666666666,-0.3716418775376862,1.0,37.0,34.3,0.0,4.582575694956267,Bearish,0,6,-0.7818314824680299,0.6234898018587334,54.54545454545455
2019-10-14,37,Fear,-0.4174594105375304,0.3555555555555555,-0.4174594105375304,1.0,38.42857142857143,34.233333333333334,-1.0,1.3972762620129033,Bearish,0,0,0.0,1.0,60.0
2019-10-15,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,38.42857142857143,34.266666666666666,2.0,1.3972762620129033,Bearish,0,1,0.7818314824680298,0.6234898018587336,51.21951219512195
2019-10-16,40,Fear,-0.2800068115379979,0.3888888888888889,-0.2800068115379979,1.0,38.857142857142854,34.333333333333336,1.0,1.3451854182704959,Bearish,0,2,0.9749279121818236,-0.22252093395631434,51.21951219512195
2019-10-17,40,Fear,-0.2800068115379979,0.3888888888888889,-0.2800068115379979,1.0,38.714285714285715,34.3,0.0,1.1126972805300692,Bearish,0,3,0.43388373911755823,-0.900968867902419,53.84615384615384
2019-10-18,40,Fear,-0.2800068115379979,0.3888888888888889,-0.2800068115379979,1.0,38.857142857142854,34.36666666666667,0.0,1.21498579258946,Bearish,0,4,-0.433883739117558,-0.9009688679024191,65.625
2019-10-19,41,Fear,-0.2341892785381537,0.3999999999999999,-0.2341892785381537,1.0,39.285714285714285,34.7,1.0,1.3801311186860608,Bearish,0,5,-0.9749279121818236,-0.2225209339563146,65.625
2019-10-20,37,Fear,-0.4174594105375304,0.3555555555555555,-0.4174594105375304,1.0,39.142857142857146,34.56666666666667,-4.0,1.5735915849400746,Bearish,0,6,-0.7818314824680299,0.6234898018587334,57.142857142857146
2019-10-21,37,Fear,-0.4174594105375304,0.3555555555555555,-0.4174594105375304,1.0,39.142857142857146,34.56666666666667,0.0,1.5735915849400746,Bearish,0,0,0.0,1.0,66.66666666666666
2019-10-22,39,Fear,-0.325824344537842,0.3777777777777777,-0.325824344537842,1.0,39.142857142857146,34.63333333333333,2.0,1.5735915849400746,Bearish,0,1,0.7818314824680298,0.6234898018587336,50.0
2019-10-23,33,Fear,-0.6007295425369071,0.3111111111111111,-0.6007295425369071,1.0,38.142857142857146,34.36666666666667,-6.0,2.734262327611283,Bearish,0,2,0.9749279121818236,-0.22252093395631434,41.66666666666667
2019-10-24,20,Extreme Fear,-1.1963574715348817,0.1666666666666666,-1.1963574715348817,0.0,35.285714285714285,33.733333333333334,-13.0,7.227592630890261,Bearish,1,3,0.43388373911755823,-0.900968867902419,18.181818181818187
